productID,productName,productPrice,productDescription,productImage,productStorage
101,Floral Maxi Dress,350,"Embrace the beauty of summer in our Floral Maxi Dress. Crafted from lightweight fabric, this dress features a stunning floral print that exudes femininity and charm. The flowy silhouette and adjustable straps ensure a comfortable fit, making it perfect for casual outings or beach days. Pair it with sandals and a sun hat for a chic, summery look.",../prod_image/Floral_Maxi_Dress.jpeg,100
102,Leather Crossbody Bag,450,"Elevate your accessories collection with our Leather Crossbody Bag. Made from high-quality leather, this bag is both stylish and functional. The adjustable strap allows for easy customization, while the spacious interior provides plenty of room for your essentials. Whether you're running errands or going out for the evening, this crossbody bag is the perfect companion.",/../prod_image/Leather_Crossbody_Bag.jpeg,50
103,Linen Button-Up Shirt,250,"Update your wardrobe with our Linen Button-Up Shirt. Made from breathable linen fabric, this shirt is perfect for staying cool and stylish in warm weather. The button-up design and classic collar add a touch of sophistication, while the relaxed fit ensures all-day comfort. Pair it with shorts or jeans for a casual yet polished look.",/../prod_image/Linen_Button-Up_Shirt.jpeg,30
104,Denim Mini Skirt,200,"Add a touch of casual-cool to your wardrobe with our Denim Mini Skirt. Made from durable denim fabric, this skirt features a classic five-pocket design and a frayed hem for a laid-back vibe. The high-waisted silhouette and A-line shape flatter your figure, making it a versatile piece for any casual outing.",/../prod_image/Denim_Mini_Skirt.jpeg,20
105,Striped Linen Shorts,180,"Stay comfortable and stylish in our Striped Linen Shorts. Made from soft linen fabric, these shorts feature a timeless striped pattern that adds a nautical touch to your look. The elastic waistband and drawstring closure ensure a perfect fit, while the relaxed silhouette is ideal for lounging or running errands. Pair them with a simple tee and sandals for a casual, effortless outfit.",/../prod_image/Striped_Linen_Shorts.jpeg,10
106,Embroidered Blouse,300,"Add a touch of elegance to your wardrobe with our Embroidered Blouse. This beautiful blouse features intricate embroidery detail that adds a feminine and romantic flair. The lightweight fabric and relaxed fit ensure all-day comfort, while the versatile design makes it easy to dress up or down. Pair it with jeans for a casual day out or with trousers for a more polished look.",/../prod_image/Embroidered_Blouse.jpeg,1
107,Pleated Midi Skirt,280,"Make a statement in our Pleated Midi Skirt. This chic skirt features a flattering midi length and elegant pleated detailing that adds movement and texture to your look. The high-waisted silhouette and A-line shape create a feminine silhouette, while the versatile design makes it perfect for both casual and formal occasions. Pair it with a blouse and heels for a sophisticated ensemble.",/../prod_image/Pleated_Midi_Skirt.jpeg,100
108,Ruffle Sleeve Top,220,"Elevate your everyday look with our Ruffle Sleeve Top. This stylish top features playful ruffle sleeves that add a feminine touch to your outfit. The soft fabric and relaxed fit ensure all-day comfort, while the versatile design makes it easy to pair with jeans, skirts, or shorts. Whether you're heading to the office or meeting friends for brunch, this top is a perfect choice.",/../prod_image/Ruffle_Sleeve_Top.jpeg,50
109,Knit Sweater,320,"Stay cozy and stylish in our Knit Sweater. Made from soft knit fabric, this sweater features a classic crew neckline and ribbed cuffs and hem for a comfortable fit. The relaxed silhouette and versatile design make it easy to pair with jeans, trousers, or skirts. Whether you're lounging at home or out and about, this sweater is a perfect choice for staying warm and stylish.",/../prod_image/Knit_Sweater.jpeg,30
110,Floral Print Scarf,150,"Add a pop of color to your outfit with our Floral Print Scarf. This lightweight scarf features a vibrant floral print that adds a touch of femininity to any look. The soft fabric and generous size make it perfect for draping, tying, or wrapping in various styles. Whether you wear it around your neck, as a headscarf, or as a belt, this scarf is a versatile accessory that adds flair to any outfit.",/../prod_image/Floral_Print_Scarf.jpeg,20
111,Embellished Sandals,380,"Step out in style with our Embellished Sandals. These stylish sandals feature intricate embellishments that add a touch of glamour to your footwear collection. The comfortable sole and adjustable strap ensure a perfect fit, while the versatile design makes them ideal for both casual and dressy occasions. Whether you're heading to the beach or a night out, these sandals are sure to turn heads.",/../prod_image/Embellished_Sandals.jpeg,10
112,Cropped Wide-Leg Pants,260,"Stay on-trend with our Cropped Wide-Leg Pants. These chic pants feature a cropped length and wide-leg silhouette that flatter your figure and elongate your legs. The high-waisted design and elastic waistband ensure a comfortable fit, while the versatile style makes them easy to dress up or down. Pair them with a blouse and heels for a sophisticated look or with a tee and sneakers for a casual vibe.",/../prod_image/Cropped_Wide-Leg_Pants.jpeg,100
113,Off-Shoulder Blouse,280,"Show off your shoulders in our Off-Shoulder Blouse. This chic blouse features an off-shoulder neckline and ruffle detailing that adds a romantic touch to your look. The lightweight fabric and relaxed fit ensure all-day comfort, while the versatile design makes it easy to pair with jeans, skirts, or shorts. Whether you're heading to a brunch or a night out, this blouse is a perfect choice.",/../prod_image/Off-Shoulder_Blouse.jpeg,50
114,Velvet Hair Scrunchies,80,"Add a touch of luxury to your hairdo with our Velvet Hair Scrunchies. This set includes multiple scrunchies made from soft velvet fabric, perfect for adding a stylish twist to your hairstyle. Whether you wear them in a ponytail, bun, or braid, these scrunchies are gentle on your hair and add a touch of elegance to any look. Perfect for everyday wear or special occasions.",/../prod_image/Velvet_Hair_Scrunchies.jpeg,30
115,Faux Leather Jacket,400,"Add an edgy vibe to your wardrobe with our Faux Leather Jacket. This trendy jacket features a faux leather construction that looks and feels like the real thing. The classic moto-inspired design, including zippered pockets and cuffs, adds a rebellious touch to your look. Whether you're heading to a concert or a night out, this jacket is sure to make a statement.",/../prod_image/Faux_Leather_Jacket.jpeg,20
